heuristic,trial,originalIndividualAvgTime,originalIndividualLOC,originalIndividualCharacters,bestIndividualAvgTime,bestIndividualLOC,bestIndividualCharacters,time,better
HC,0,"22934",609,22934,"22292",595,22292,"221,263",true
HC,1,"22934",609,22934,"22292",595,22292,"219,163",true
HC,2,"22934",609,22934,"22292",595,22292,"214,284",true
HC,3,"22934",609,22934,"22292",595,22292,"212,372",true
HC,4,"22934",609,22934,"22292",595,22292,"212,536",true
HC,5,"22934",609,22934,"22292",595,22292,"217,511",true
HC,6,"22934",609,22934,"22292",595,22292,"212,989",true
HC,7,"22934",609,22934,"22292",595,22292,"214,992",true
HC,8,"22934",609,22934,"22292",595,22292,"218,29",true
HC,9,"22934",609,22934,"22292",595,22292,"212,666",true
HC,10,"22934",609,22934,"22292",595,22292,"216,274",true
HC,11,"22934",609,22934,"22292",595,22292,"215,913",true
HC,12,"22934",609,22934,"22292",595,22292,"219,809",true
HC,13,"22934",609,22934,"22292",595,22292,"215,479",true
HC,14,"22934",609,22934,"22292",595,22292,"212,416",true
HC,15,"22934",609,22934,"22292",595,22292,"212,711",true
HC,16,"22934",609,22934,"22292",595,22292,"213,567",true
HC,17,"22934",609,22934,"22292",595,22292,"212,721",true
HC,18,"22934",609,22934,"22292",595,22292,"212,47",true
HC,19,"22934",609,22934,"22292",595,22292,"219,38",true
HC,20,"22934",609,22934,"22292",595,22292,"219,69",true
HC,21,"22934",609,22934,"22292",595,22292,"215,314",true
HC,22,"22934",609,22934,"22292",595,22292,"214,222",true
HC,23,"22934",609,22934,"22292",595,22292,"213,604",true
HC,24,"22934",609,22934,"22292",595,22292,"215,455",true
HC,25,"22934",609,22934,"22292",595,22292,"215,497",true
HC,26,"22934",609,22934,"22292",595,22292,"216,51",true
HC,27,"22934",609,22934,"22292",595,22292,"222,642",true
HC,28,"22934",609,22934,"22292",595,22292,"218,045",true
HC,29,"22934",609,22934,"22292",595,22292,"214,226",true
RD,0,"22934",609,22934,"22328",596,22328,"4253,719",true
RD,1,"22934",609,22934,"21987",591,21987,"4132,006",true
RD,2,"22934",609,22934,"22536",600,22536,"4339,174",true
RD,3,"22934",609,22934,"22536",600,22536,"4277,987",true
RD,4,"22934",609,22934,"22328",596,22328,"4248,746",true
RD,5,"22934",609,22934,"22068",591,22068,"4190,729",true
RD,6,"22934",609,22934,"21667",585,21667,"4026,158",true
RD,7,"22934",609,22934,"22172",593,22172,"4225,736",true
RD,8,"22934",609,22934,"22593",601,22593,"4387,083",true
RD,9,"22934",609,22934,"21677",589,21677,"4158,336",true
RD,10,"22934",609,22934,"22484",599,22484,"4362,171",true
RD,11,"22934",609,22934,"22385",597,22385,"4459,811",true
RD,12,"22934",609,22934,"22172",593,22172,"4184,066",true
RD,13,"22934",609,22934,"21802",586,21802,"4195,843",true
RD,14,"22934",609,22934,"21728",587,21728,"4267,981",true
RD,15,"22934",609,22934,"22233",594,22233,"4300,797",true
RD,16,"22934",609,22934,"22432",598,22432,"4345,475",true
RD,17,"22934",609,22934,"22025",591,22025,"4229,842",true
RD,18,"22934",609,22934,"22432",598,22432,"4349,763",true
RD,19,"22934",609,22934,"22068",591,22068,"4144,44",true
RD,20,"22934",609,22934,"21979",590,21979,"4134,389",true
RD,21,"22934",609,22934,"21965",590,21965,"4304,694",true
RD,22,"22934",609,22934,"22593",601,22593,"4426,027",true
RD,23,"22934",609,22934,"21964",589,21964,"4121,437",true
RD,24,"22934",609,22934,"22328",596,22328,"4281,064",true
RD,25,"22934",609,22934,"22177",593,22177,"4231,191",true
RD,26,"22934",609,22934,"22276",595,22276,"4385,923",true
RD,27,"22934",609,22934,"22172",593,22172,"4144,966",true
RD,28,"22934",609,22934,"21882",592,21882,"4067,838",true
RD,29,"22934",609,22934,"22593",601,22593,"4372,094",true
