Rodada;Algoritmo;Funcao;min;max;media;mediana;duracao;quantidade;;;;;;;
0;original;isEmptyString;0,002274;0,057493;0,0112225;0,021214083;1,272845;60;;;;;;;
0;original;Anonymous;0,000388;2,71598;0,0580965;0,30770531;123,082124;400;;;;;;;
0;original;createUnit;0,250927;3,006059;0,6139365;1,00009623;100,009623;100;;;;;;;
0;original;addUnitDependency;0,014553;0,026085;0,015308;0,0162231;0,324462;20;;;;;;;
0;original;identifyDeps;0,01362;0,023587;0,014471;0,01502635;0,300527;20;;;;;;;
0;RD;Anonymous;0,000359;1,682022;0,0094965;0,18781033;75,124132;400;;;;;;;
0;RD;createUnit;0,193403;2,014156;0,4687275;0,75023776;75,023776;100;;;;;;;
1;RD;createUnit;0,252211;3,529836;0,6367725;1,06834105;106,834105;100;;;;;;;
1;RD;identifyDeps;0,013807;0,032278;0,0149015;0,01606975;0,321395;20;;;;;;;
2;RD;Anonymous;0,00037;1,765697;0,009476;0,189019513;75,607805;400;;;;;;;
2;RD;createUnit;0,19272;2,082701;0,510807;0,77045239;77,045239;100;;;;;;;
3;RD;createUnit;0,250783;4,389624;0,6587585;1,07636255;107,636255;100;;;;;;;
4;RD;createUnit;0,249225;3,020166;0,6084765;0,99653056;99,653056;100;;;;;0,6139365;0,4162755;-32,20%
5;RD;createUnit;0,252293;4,163857;0,6009565;1,00525536;100,525536;100;;;;;;;
6;RD;createUnit;0,248816;3,916055;0,591601;1,00342729;100,342729;100;;;;;;;
8;RD;createUnit;0,252768;2,987356;0,4199565;0,92079915;92,079915;100;;;;;;;
8;RD;addUnitDependency;0,013981;0,017298;0,015207;0,01517895;0,303579;20;;;;;;;
8;RD;identifyDeps;0,013412;0,016746;0,014334;0,01458405;0,291681;20;;;;;;;
9;RD;createUnit;0,253519;2,695411;0,4162755;0,91464027;91,464027;100;;;;;;;
9;RD;addUnitDependency;0,01421;0,023281;0,015024;0,01552695;0,310539;20;;;;;;;
9;RD;pickUnit;0,203328;0,271856;0,212489;0,21839615;4,367923;20;;;;;;;
20;RD;createUnit;0,25199;2,670821;0,5887075;0,9629434;96,29434;100;;;;;;;
21;RD;Anonymous;0,000375;2,055728;0,009583;0,189057143;75,622857;400;;;;;;;
21;RD;createUnit;0,195506;2,466946;0,4851255;0,77475353;77,475353;100;;;;;;;
22;RD;createUnit;0,251136;3,626427;0,623754;1,02707719;102,707719;100;;;;;;;
23;RD;createUnit;0,250263;2,7392;0,5933625;0,96909505;96,909505;100;;;;;;;
24;RD;createUnit;0,248293;2,752382;0,587413;0,96007783;96,007783;100;;;;;;;
25;RD;createUnit;0,249459;2,9465;0,5940415;0,97347595;97,347595;100;;;;;;;
26;RD;Anonymous;0,000376;1,40872;0,008846;0,179512832;71,805133;400;;;;;;;
26;RD;createUnit;0,193203;1,692653;0,449009;0,72886581;72,886581;100;;;;;;;
26;RD;pickUnit;0,240687;0,28062;0,24949;0,25444535;5,088907;20;;;;;;;
27;RD;createUnit;0,251829;2,681703;0,5951225;0,96747887;96,747887;100;;;;;;;
27;RD;identifyDeps;0,013854;0,015455;0,0146005;0,0145804;0,291608;20;;;;0,014471;0,014188;-1,96%;
28;RD;createUnit;0,250448;2,682287;0,58672;0,96061617;96,061617;100;;;;;;;
28;RD;addUnitDependency;0,014237;0,016972;0,014806;0,01513905;0,302781;20;;;;;;;
28;RD;identifyDeps;0,013478;0,015365;0,0142545;0,01441655;0,288331;20;;;;;;;
29;RD;createUnit;0,251331;2,677279;0,587598;0,96008831;96,008831;100;;;;;;;
2;HC;addUnitDependency;0,013872;0,016299;0,015289;0,01526075;0,305215;20;;;;;0,014806;;
2;HC;identifyDeps;0,013161;0,025703;0,014188;0,0146455;0,29291;20;;;;;;;
3;HC;addUnitDependency;0,013785;0,018269;0,0149725;0,01539605;0,307921;20;;;;;;;
3;HC;identifyDeps;0,013591;0,025586;0,0144705;0,01506485;0,301297;20;;;;;;;
4;HC;addUnitDependency;0,013979;0,025969;0,015233;0,0157567;0,315134;20;;;;;;;
4;HC;identifyDeps;0,013458;0,028639;0,014522;0,01547355;0,309471;20;;;;;;;
5;HC;addUnitDependency;0,013439;0,019254;0,014965;0,0151492;0,302984;20;;;;;;;
5;HC;identifyDeps;0,013531;0,01579;0,014504;0,0144663;0,289326;20;;;;;;;
6;HC;addUnitDependency;0,01404;0,025335;0,0149935;0,01567205;0,313441;20;;;;;;;
6;HC;identifyDeps;0,013565;0,017642;0,0144665;0,0147026;0,294052;20;;;;;;;
8;HC;identifyDeps;0,013421;0,015341;0,0145085;0,0144135;0,28827;20;;;;;;;
9;HC;addUnitDependency;0,013984;0,016306;0,0150645;0,01518095;0,303619;20;;;;;;;
10;HC;addUnitDependency;0,014284;0,016601;0,015348;0,01530035;0,306007;20;;;;;;;
10;HC;identifyDeps;0,013216;0,014977;0,0142915;0,01424905;0,284981;20;;;;;;;
12;HC;identifyDeps;0,014061;0,031633;0,014741;0,01647285;0,329457;20;;;;;;;
13;HC;identifyDeps;0,01328;0,033319;0,014618;0,0158958;0,317916;20;;;;;;;
14;HC;addUnitDependency;0,014163;0,030078;0,0156845;0,0171322;0,342644;20;;;;;;;
14;HC;identifyDeps;0,013706;0,045694;0,014892;0,0177415;0,35483;20;;;;;;;
15;HC;addUnitDependency;0,014114;0,018021;0,015246;0,01555625;0,311125;20;;;;;;;
15;HC;identifyDeps;0,013724;0,015562;0,0144965;0,0144983;0,289966;20;;;;;;;
16;HC;addUnitDependency;0,014055;0,028249;0,0150485;0,01683795;0,336759;20;;;;;;;
16;HC;identifyDeps;0,013055;0,019764;0,0146715;0,01529105;0,305821;20;;;;;;;
17;HC;addUnitDependency;0,014196;0,029967;0,0155295;0,01632095;0,326419;20;;;;;;;
17;HC;identifyDeps;0,013313;0,032493;0,0144085;0,0154373;0,308746;20;;;;;;;
18;HC;addUnitDependency;0,013938;0,025624;0,01507;0,0158375;0,31675;20;;;;;;;
18;HC;identifyDeps;0,013563;0,03791;0,0147645;0,01706115;0,341223;20;;;;;;;
19;HC;identifyDeps;0,013689;0,026312;0,0156375;0,0164197;0,328394;20;;;;;;;
20;HC;identifyDeps;0,013077;0,018524;0,014646;0,0148732;0,297464;20;;;;;;;
21;HC;addUnitDependency;0,013936;0,025251;0,016365;0,01779845;0,355969;20;;;;;;;
21;HC;identifyDeps;0,013772;0,03425;0,0163815;0,01855085;0,371017;20;;;;;;;
22;HC;addUnitDependency;0,014649;0,026976;0,01762;0,01820405;0,364081;20;;;;;;;
22;HC;identifyDeps;0,013807;0,039842;0,0166605;0,01989605;0,397921;20;;;;;;;
23;HC;addUnitDependency;0,014531;0,036396;0,0156195;0,01840105;0,368021;20;;;;;;;
23;HC;identifyDeps;0,013702;0,034558;0,0149095;0,01616455;0,323291;20;;;;;;;
24;HC;identifyDeps;0,013456;0,024524;0,014596;0,01509595;0,301919;20;;;;;;;
25;HC;addUnitDependency;0,014096;0,018575;0,015276;0,0152649;0,305298;20;;;;;;;
25;HC;identifyDeps;0,013642;0,026939;0,0146765;0,0157289;0,314578;20;;;;;;;
26;HC;addUnitDependency;0,014038;0,024214;0,014862;0,01536315;0,307263;20;;;;;;;
26;HC;identifyDeps;0,013724;0,017431;0,014745;0,01485165;0,297033;20;;;;;;;
27;HC;addUnitDependency;0,014248;0,016717;0,0151875;0,01528725;0,305745;20;;;;;;;
27;HC;identifyDeps;0,013279;0,018745;0,0143865;0,01476305;0,295261;20;;;;;;;
28;HC;identifyDeps;0,013311;0,015151;0,014492;0,01443735;0,288747;20;;;;;;;
29;HC;identifyDeps;0,013749;0,037799;0,015013;0,0167299;0,334598;20;;;;;;;
