sep=,,,,,,,,
trial,originalIndividualAvgTime,originalIndividualLOC,originalIndividualCharacters,bestIndividualAvgTime,bestIndividualLOC,bestIndividualCharacters,time,better
0,47480,400,13073,47480,400,13073,131269,false
1,37631,400,13073,15298,398,12966,164435,true
2,37631,400,13073,15298,398,12966,164435,true
3,12920,400,13073,12920,400,13073,267945,false
4,41648,400,13073,23916,400,13031,155176,true
5,25213,400,13073,11280,400,13030,44926,true
6,12766,400,13073,12766,400,13073,264386,false
7,12781,400,13073,12781,400,13073,261121,false
8,15635,400,13073,15635,400,13073,144068,false
9,13522,400,13073,10894,400,13030,44875,true
10,19015,400,13073,19015,400,13073,212503,false
11,14861,400,13073,12672,399,13030,238920,true
12,13011,400,13073,13011,400,13073,257713,false
13,12140,400,13073,12140,400,13073,142827,false
14,14097,400,13073,11215,398,13013,266901,true
15,16132,400,13073,15498,399,13030,259979,true
16,16260,400,13073,12620,399,13030,260778,true
17,12562,400,13073,12562,400,13073,248949,false
18,15256,400,13073,15256,400,13073,149029,false
20,40945,400,13073,23083,400,13030,196353,true
20,40945,400,13073,23083,400,13030,196353,true
21,12301,400,13073,12301,400,13073,262319,false
22,14474,400,13073,10667,400,13030,44800,true
23,15016,400,13073,14160,399,13030,279869,true
24,13585,400,13073,13585,400,13073,262822,false
25,24204,400,13073,11570,400,13023,166512,true
26,14745,400,13073,11492,400,13023,154568,true
27,13882,400,13073,11119,400,13030,44687,true
28,12571,400,13073,11023,400,13023,158566,true
29,14474,400,13073,10667,400,13030,44800,true
