Rodada;Algoritmo;Funcao;min;max;media;mediana;duracao;quantidade;estatico
0;original;Anonymous;0.001084;7.286805;0.001761;0.0026767348043190142;1651.0635620000544;616820;0
0;original;lex;0.067935;13.237722;0.1026695;0.16908441706431515;3259.9475609999963;19280;2
0;original;applyPlugins;0.00112;5.036291;0.002581;0.003256883940030894;588.7143409999844;180760;0
0;original;parse;0.101344;15.716948;0.336523;0.554908178571428;10487.76457499999;18900;2
0;original;compileBody;0.661944;255.943784;4.126637499999999;9.005734569090945;128782.00433800052;14300;0
0;original;compile;0.903567;256.072795;4.76207;11.556382104520504;84361.58936299967;7300;15
0;original;compileFile;0.01504;1.059367;0.049784999999999996;0.05940822500000002;4.752658000000002;80;2
0;original;handleTemplateCache;0.921076;169.667392;4.8013025;7.268592387554571;33290.153134999935;4580;0
0;original;findReplacementFunc;0.001517;0.688155;0.002782;0.00468706693548388;46.49570400000009;9920;0
0;original;resolve;0.012302;10.792907;0.018531;0.031007961847389586;154.41965000000013;4980;1
0;original;read;0.041301;3.014718;0.072503;0.09137632044534395;451.39902299999915;4940;3
0;original;renderFile;0.003721;0.172958;0.022483000000000003;0.027508021052631587;10.453048000000003;380;3
0;original;render;0.002354;0.576505;0.006221;0.008127709049773755;35.924474;4420;5
0;original;compileClient;0.002491;4.124046;0.0044855;0.007554041000000017;52.87828700000012;7000;4
0;original;compileClientWithDependenciesTracked;0.677362;135.176898;3.6787115000000004;6.620457459285739;46343.20221500017;7000;2
0;original;compileFileClient;1.821681;16.250191;3.1657305;3.764235016666667;225.854101;60;1
1;HC;findReplacementFunc;0.001512;0.42303;0.002786;0.004497936794354829;44.619532999999905;9920;0
2;HC;findReplacementFunc;0.001591;1.413161;0.0028075;0.00509158084677417;50.508481999999766;9920;0
4;HC;compileBody;0.657259;260.493846;4.0957275;9.125590155244812;130495.93922000082;14300;0
4;HC;resolve;0.001473;0.287176;0.002591;0.004708268674698796;23.447178;4980;1
5;HC;compileBody;0.654775;252.57173;4.114399000000001;9.012699765384644;128881.60664500041;14300;0
5;HC;resolve;0.01243;2.00833;0.0185305;0.02938256164658636;146.32515700000008;4980;1
9;HC;compileBody;0.647992;267.229332;4.0940275;8.98002119944055;128414.30315199986;14300;0
9;HC;resolve;0.012479;0.849422;0.018273;0.02914964638554216;145.16523899999996;4980;1
19;HC;compileBody;0.652304;231.691863;3.8878195;8.432896621748228;120590.42169099965;14300;0
19;HC;resolve;0.012342;1.509037;0.0176485;0.02727519658634537;135.83047899999994;4980;1
20;HC;compileBody;0.650884;295.537058;3.8625205;8.465552491958018;121057.40063499966;14300;0
20;HC;resolve;0.012599;3.97217;0.0175065;0.02784408714859432;138.66355399999972;4980;1
22;HC;compileBody;0.652027;261.938617;3.8763769999999997;8.355319057692265;119481.06252499938;14300;0
22;HC;resolve;0.012372;4.53275;0.017548;0.028222316064257034;140.54713400000003;4980;1
25;HC;findReplacementFunc;0.001504;0.361823;0.002658;0.004338459173387106;43.03751500000009;9920;0
26;HC;findReplacementFunc;0.00156;0.323482;0.002705;0.0042693416330645195;42.35186900000003;9920;0
27;HC;compileBody;0.650525;211.646087;3.8309755;8.30935889832166;118823.83224599974;14300;0
27;HC;resolve;0.012267;4.504074;0.0175745;0.02820113674698785;140.4416609999995;4980;1
28;HC;findReplacementFunc;0.001529;0.407224;0.002686;0.004314028024193532;42.79515799999984;9920;0
29;HC;compileBody;0.649199;228.512163;3.8343534999999997;8.295620073146878;118627.36704600035;14300;0
29;HC;resolve;0.012429;5.778909;0.017513;0.02791156184738947;138.99957799999956;4980;1
