trial,originalIndividualAvgTime,originalIndividualLOC,originalIndividualCharacters,bestIndividualAvgTime,bestIndividualLOC,bestIndividualCharacters,time,better
0,1295,525,26091,764,525,26091,"4142,843",false
1,875,525,26091,800,525,26091,"4117,337",false
2,956,525,26091,861,525,26046,"3955,643",true
3,996,525,26091,887,525,26091,"3924,278",false
4,907,525,26091,834,524,26050,"6002,607",true
5,1024,525,26091,885,525,26062,"5729,956",true
6,1093,525,26091,1012,525,26091,"7906,364",false
7,847,525,26091,792,525,26095,"1722,59",true
8,851,525,26091,751,525,26093,"1701,121",true
8,1187,525,26091,768,519,25685,"1596,388",true
9,841,525,26091,767,524,26032,"1557,303",true
10,775,525,26091,741,525,26091,"1493,918",false
11,732,525,26091,732,525,26091,"1529,018",false
12,814,525,26091,756,232,8550,"1426,618",true
13,727,525,26091,727,525,26091,"1472,547",false
14,747,525,26091,745,525,26058,"1510,143",true
15,930,525,26091,754,525,26091,"1517,175",true
16,764,525,26091,734,525,26110,"1488,35",true
17,859,525,26091,738,525,26091,"1481,148",false
18,758,525,26091,714,525,26096,"1479,212",true
19,720,525,26091,720,525,26091,"1452,154",false
20,1147,525,26091,793,525,26073,"4040,038",true
21,1142,525,26091,879,522,25995,"5632,944",true
22,915,525,26091,915,525,26091,"5720,848",false
24,808,525,26091,749,525,26091,"1671,942",false
25,801,525,26091,748,524,26057,"1623,796",true
26,745,525,26091,745,525,26091,"1508,439",false
27,795,525,26091,773,525,26090,"1517,807",true
28,785,525,26091,756,525,26091,"1656,16",false
29,921,525,26091,744,525,26091,"1545,286",false
30,713,525,26091,713,525,26091,"1496,589",false
31,833,525,26091,804,524,26030,"3908,997",true
32,826,525,26091,826,525,26091,"4155,32",false
33,1031,525,26091,876,525,26091,"5164,874",false
34,1160,525,26091,921,525,26091,"5215,433",false
35,917,525,26091,917,525,26091,"7910,193",false
36,1194,525,26091,1113,520,25764,"7908,977",true
37,1312,525,26091,1046,524,26040,"9007,453",true
39,896,525,26091,799,525,26091,"2481,243",false
40,1118,525,26091,744,525,26073,"4158,231",true
41,893,525,26091,795,525,26091,"4398,52",false
42,1058,525,26091,825,525,26075,"4085,796",true
43,857,525,26091,802,518,25766,"3688,789",true
44,974,525,26091,971,493,23925,"6320,739",true
45,977,525,26091,977,525,26091,"6345,363",false
46,1076,525,26091,1076,525,26091,"7958,435",false
47,1238,525,26091,1053,525,26075,"8397,692",true
48,1419,525,26091,968,524,26051,"9140,974",true
49,1015,525,26091,769,525,26091,"1729,874",false
50,789,525,26091,741,524,26032,"1505,056",true
51,760,525,26091,747,524,26059,"1522,992",true
52,857,525,26091,857,525,26091,"4184,337",false
53,1219,525,26091,848,525,26091,"4698,068",false
54,937,525,26091,937,525,26091,"5686,114",false
55,1237,525,26091,1137,521,25872,"7607,868",true
56,1143,525,26091,1143,525,26091,"8048,874",false
57,1204,525,26091,1122,524,26058,"8849,269",true
58,1101,525,26091,739,525,26075,"1649,705",true
59,735,525,26091,735,525,26091,"1548,452",false
60,751,525,26091,751,525,26091,"1546,62",false
