sep=,
trial,originalIndividualAvgTime,originalIndividualLOC,originalIndividualCharacters,bestIndividualAvgTime,bestIndividualLOC,bestIndividualCharacters,time,better
0,"142999",282,10049,"9578",282,10042,"65136,132",true
1,"17661",282,10049,"17661",282,10049,"54069,232",false
2,"10581",282,10049,"10581",282,10049,"23715,264",false
3,"33799",282,10049,"7388",282,10046,"58377,394",true
4,"6203",282,10049,"6203",282,10049,"53099,242",false
5,"8849",282,10049,"8849",282,10049,"57888,289",false
6,"38734",282,10049,"24905",282,10049,"45379,146",false
7,"142999",282,10049,"9578",282,10042,"65136,132",true
8,"39991",282,10049,"12097",282,10056,"45561,79",true
9,"25475",282,10049,"11565",282,9942,"55620,477",true
10,"23311",282,10049,"23311",282,10049,"22612,802",false
11,"39146",282,10049,"9370",282,10052,"58033,75",true
12,"48701",282,10049,"10387",287,10231,"57127,17",true
13,"11205",282,10049,"11205",282,10049,"45683,564",false
14,"65292",282,10049,"11557",282,10045,"58154,229",true
15,"73820",282,10049,"10174",282,9990,"53426,846",true
16,"13350",282,10049,"13350",282,10049,"27872,842",false
17,"303951",282,10049,"23671",282,10041,"52154,56",true
18,"6040",282,10049,"5820",281,10016,"4644,177",true
19,"101412",282,10049,"11304",282,10049,"56368,759",false
20,"29649",282,10049,"11825",282,10059,"55335,679",true
21,"16468",282,10049,"16148",280,9969,"47567,635",true
22,"47286",282,10049,"10085",282,10077,"58402,013",true
23,"223176",282,10049,"10733",282,10039,"53619,197",true
24,"58446",282,10049,"24168",282,10049,"46415,807",false
25,"9422",282,10049,"9422",282,10049,"57744,862",false
26,"8131",282,10049,"8131",282,10049,"54604,314",false
27,"15805",282,10049,"15805",282,10049,"56817,427",false
28,"6059",282,10049,"6059",282,10049,"54306,486",false
29,"11363",282,10049,"11363",282,10049,"20927,373",false
30,"8491",282,10049,"8491",282,10049,"58026,836",false
31,"12994",282,10049,"12994",282,10049,"46053,47",false
32,"8822",282,10049,"8822",282,10049,"58231,43",false
33,"21949",282,10049,"19149",282,10041,"50712,576",true
34,"13780",282,10049,"13780",282,10049,"56621,3",false
35,"7103",282,10049,"7103",282,10049,"51146,67",false
36,"8557",282,10049,"8557",282,10049,"58022,069",false
37,"8004",282,10049,"8004",282,10049,"55285,511",false
38,"9570",282,10049,"8909",282,10088,"61581,913",true
39,"8338",282,10049,"8338",282,10049,"58127,003",false
40,"11499",282,10049,"11499",282,10049,"24575,108",false
41,"9550",282,10049,"9110",282,10052,"60723,925",true
42,"7982",282,10049,"7982",282,10049,"55045,09",false
13,"11205",282,10049,"11205",282,10049,"45683,564",false
44,"7987",282,10049,"7987",282,10049,"57864,894",false
45,"33979",282,10049,"14371",282,10045,"47351,161",true
46,"10417",282,10049,"10417",282,10049,"54226,76",false
47,"7666",282,10049,"7666",282,10049,"55065,484",false
48,"13703",282,10049,"13703",282,10049,"41608,266",false
49,"8955",282,10049,"8955",282,10049,"57773,766",false
50,"8052",282,10049,"8052",282,10049,"55369,033",false
51,"11770",282,10049,"11770",282,10049,"40567,003",false
52,"16753",282,10049,"16753",282,10049,"52154,151",false
53,"13329",282,10049,"13329",282,10049,"45628,251",false
54,"10160",282,10049,"10160",282,10049,"45025,291",false
55,"8160",282,10049,"8160",282,10049,"55293,706",false
56,"19038",282,10049,"19038",282,10049,"32047,723",false
57,"110631",282,10049,"27086",282,10049,"47777,317",false
58,"8021",282,10049,"8021",282,10049,"53918,762",false
59,"15074",282,10049,"9993",282,10053,"59070,644",true
