trial;originalIndividualAvgTime;originalIndividualLOC;originalIndividualCharacters;bestIndividualAvgTime;bestIndividualLOC;bestIndividualCharacters;time;better
7;8831;526;22401;8831;526;22401;7337,826;false
8;3767;526;22401;3767;526;22401;7354,974;false
9;5369;526;22401;5369;526;22401;7472,599;false
10;23150;526;22401;7458;523;22247;7692,482;true
11;3818;526;22401;3818;526;22401;7877,461;false
12;5935;526;22401;5935;526;22401;7492,989;false
13;8051;526;22401;8051;526;22401;7894,162;false
14;7045;526;22401;6009;526;22398;7229,323;true
15;6254;526;22401;5362;525;22368;7198,45;true
16;7008;526;22401;6834;525;22370;7460,896;true
17;6874;526;22401;6874;526;22401;7314,883;false
18;5868;526;22401;5868;526;22401;8252,996;false
19;4994;526;22401;4994;526;22401;7133,908;false
20;7802;526;22401;7802;526;22401;7908,917;false
21;8779;526;22401;8118;526;22397;7574,62;true
22;7557;526;22401;6516;525;22367;8087,502;true
23;4575;526;22401;4575;526;22401;7490,2;false
24;12950;526;22401;8594;525;22341;7366,108;true
25;7098;526;22401;6810;524;22294;7103,952;true
26;8469;526;22401;8469;526;22401;8119,282;false
27;8312;526;22401;6460;526;22395;7731,481;true
28;6862;526;22401;6862;526;22401;7304,724;false
29;20400;526;22401;8700;522;22172;7614,189;true
30;10129;526;22401;7471;520;22133;8553,736;true
31;6517;526;22401;6517;526;22401;8321,652;false
32;6167;526;22401;5449;525;22363;7119,586;true
33;7939;526;22401;5788;525;22365;7975,417;true
34;8917;526;22401;8917;526;22401;8497,622;false
35;7488;526;22401;6681;521;22203;7267,311;true
36;6267;526;22401;6267;526;22401;7558,509;false
37;23044;526;22401;7125;522;22184;7155,516;true
38;8169;526;22401;6252;525;22294;9975,16;true
39;4645;526;22401;4645;526;22401;8158,623;false
40;15699;526;22401;4226;522;22240;7325,52;true
41;6362;526;22401;6362;526;22401;6992,01;false
42;6155;526;22401;6155;526;22401;8153,375;false
43;7250;526;22401;7250;526;22401;7994,764;false
44;8086;526;22401;8086;526;22401;7186,844;false
45;16395;526;22401;6933;524;22272;7761,814;true
46;3785;526;22401;3785;526;22401;7626,137;false
47;6374;526;22401;6374;526;22401;7299,882;false
48;9153;526;22401;8007;526;22394;6996,437;true
49;5830;526;22401;5830;526;22401;7122,455;false
50;7675;526;22401;7675;526;22401;7403,466;false
51;8192;526;22401;8192;526;22401;7836,681;false
52;5022;526;22401;5022;526;22401;7074,842;false
53;4304;526;22401;4304;526;22401;7381,393;false
54;6175;526;22401;6175;526;22401;7709,866;false
55;5885;526;22401;5885;526;22401;7440,497;false
56;5813;526;22401;5813;526;22401;7877,145;false
57;5835;526;22401;5835;526;22401;7246,423;false
58;3825;526;22401;3825;526;22401;7782,36;false
59;8733;526;22401;8615;525;22341;7779,246;true
0;4047;526;22401;3840;525;22364;6621,525;true
1;4329;526;22401;4329;526;22401;7993,684;false
2;5864;526;22401;5864;526;22401;9761,982;false
3;11135;526;22401;11135;526;22401;11074,832;false
4;3527;526;22401;3527;526;22401;6903,368;false
5;6319;526;22401;6319;526;22401;9463,459;false
6;11435;526;22401;11435;526;22401;13229,564;false
